iter	Passed	Remaining
0	208	207866
1	302	150845
2	367	122176
3	438	109173
4	516	102851
5	606	100471
6	684	97049
7	755	93685
8	825	90881
9	891	88296
10	962	86545
11	1030	84844
12	1106	84019
13	1200	84546
14	1287	84546
15	1362	83811
16	1439	83223
17	1512	82541
18	1586	81937
19	1663	81517
20	1736	80947
21	1808	80407
22	1879	79838
23	1953	79446
24	2026	79032
25	2091	78368
26	2161	77887
27	2233	77530
28	2304	77167
29	2376	76830
30	2444	76414
31	2515	76084
32	2580	75628
33	2648	75238
34	2718	74956
35	2789	74699
36	2857	74376
37	2927	74121
38	2993	73769
39	3060	73459
40	3126	73130
41	3193	72841
42	3257	72501
43	3323	72214
44	3393	72013
45	3464	71858
46	3532	71628
47	3602	71445
48	3692	71657
49	3776	71749
50	3849	71628
51	3920	71474
52	3990	71297
53	4060	71132
54	4131	70982
55	4202	70850
56	4274	70719
57	4347	70608
58	4418	70473
59	4495	70433
60	4579	70491
61	4668	70622
62	4748	70623
63	4827	70608
64	4934	70984
65	5016	70992
66	5087	70842
67	5151	70611
68	5222	70465
69	5286	70239
70	5357	70102
71	5428	69973
72	5504	69898
73	5579	69820
74	5652	69716
75	5733	69701
76	5803	69564
77	5869	69382
78	5941	69270
79	6015	69182
80	6083	69016
81	6155	68911
82	6231	68843
83	6325	68983
84	6399	68886
85	6479	68860
86	6550	68738
87	6624	68651
88	6712	68711
89	6783	68593
90	6856	68488
91	6928	68383
92	7000	68270
93	7069	68136
94	7141	68029
95	7210	67902
96	7278	67762
97	7346	67619
98	7414	67479
99	7492	67430
100	7567	67353
101	7641	67275
102	7712	67168
103	7777	67003
104	7866	67056
105	7941	66978
106	8006	66822
107	8077	66716
108	8149	66620
109	8220	66507
110	8284	66353
111	8348	66193
112	8416	66066
113	8482	65927
114	8551	65808
115	8614	65649
116	8684	65542
117	8747	65382
118	8813	65247
119	8882	65135
120	8954	65046
121	9019	64907
122	9082	64759
123	9144	64603
124	9207	64453
125	9270	64305
126	9333	64159
127	9400	64040
128	9473	63967
129	9540	63848
130	9604	63710
131	9672	63605
132	9736	63470
133	9799	63334
134	9860	63183
135	9925	63053
136	9990	62932
137	10059	62836
138	10142	62822
139	10215	62753
140	10290	62693
141	10366	62635
142	10440	62570
143	10504	62442
144	10580	62388
145	10657	62339
146	10733	62283
147	10809	62225
148	10878	62129
149	10954	62076
150	11032	62030
151	11103	61946
152	11179	61890
153	11266	61894
154	11343	61838
155	11414	61754
156	11483	61657
157	11556	61587
158	11633	61534
159	11708	61471
160	11779	61387
161	11850	61302
162	11927	61245
163	11998	61162
164	12067	61069
165	12137	60977
166	12209	60903
167	12280	60818
168	12352	60739
169	12424	60659
170	12493	60565
171	12567	60497
172	12642	60433
173	12708	60329
174	12775	60226
175	12843	60132
176	12913	60044
177	12979	59939
178	13050	59858
179	13123	59785
180	13190	59684
181	13259	59592
182	13328	59505
183	13397	59413
184	13470	59342
185	13539	59253
186	13608	59163
187	13675	59065
188	13745	58983
189	13813	58890
190	13880	58792
191	13947	58697
192	14014	58601
193	14083	58513
194	14152	58423
195	14221	58336
196	14294	58267
197	14364	58182
198	14432	58093
199	14501	58004
200	14570	57919
201	14641	57841
202	14709	57752
203	14781	57676
204	14853	57601
205	14925	57528
206	14996	57451
207	15070	57384
208	15138	57293
209	15209	57216
210	15279	57136
211	15348	57050
212	15415	56957
213	15484	56874
214	15554	56793
215	15622	56703
216	15696	56637
217	15761	56537
218	15832	56460
219	15905	56393
220	15977	56320
221	16045	56231
222	16113	56145
223	16182	56061
224	16256	55993
225	16326	55913
226	16395	55830
227	16463	55745
228	16533	55665
229	16602	55583
230	16671	55499
231	16742	55423
232	16815	55354
233	16891	55294
234	16963	55220
235	17035	55148
236	17104	55065
237	17172	54981
238	17247	54918
239	17318	54842
240	17387	54759
241	17463	54700
242	17532	54616
243	17599	54529
244	17666	54441
245	17737	54367
246	17807	54288
247	17877	54210
248	17947	54131
249	18015	54045
250	18087	53973
251	18155	53889
252	18224	53810
253	18292	53724
254	18362	53647
255	18431	53566
256	18497	53478
257	18565	53393
258	18639	53327
259	18707	53243
260	18776	53164
261	18843	53078
262	18910	52993
263	18979	52912
264	19046	52827
265	19114	52743
266	19182	52662
267	19252	52586
268	19325	52515
269	19394	52436
270	19468	52371
271	19548	52321
272	19638	52296
273	19718	52247
274	19797	52193
275	19875	52137
276	19971	52128
277	20050	52073
278	20118	51991
279	20189	51915
280	20260	51841
281	20330	51764
282	20399	51684
283	20471	51612
284	20541	51533
285	20610	51453
286	20680	51376
287	20751	51301
288	20820	51221
289	20890	51146
290	20960	51069
291	21029	50990
292	21097	50908
293	21166	50829
294	21243	50769
295	21320	50708
296	21413	50684
297	21514	50682
298	21599	50639
299	21681	50589
300	21770	50556
301	21878	50566
302	21987	50579
303	22108	50617
304	22200	50587
305	22321	50624
306	22427	50625
307	22507	50569
308	22578	50490
309	22649	50413
310	22723	50342
311	22802	50281
312	22877	50212
313	22960	50162
314	23034	50090
315	23109	50021
316	23197	49980
317	23276	49919
